sample_id,lake_name,year,date_sampled,parameter,sample_location,value
2709,Middlefork Res.,2018,30-Jul-18,Surface Area (ha),Epilimnion,112.1
2376,Red Pine,2015,22-Jul-15,Surface Area (ha),Epilimnion,1.62
2419,Cagles Mill (Cataract),2015,11-Aug-15,Surface Area (ha),Epilimnion,566.58
2471,Brush Creek Reservoir,2016,19-Jul-16,Surface Area (ha),Epilimnion,67.58
2486,Shaffer,2016,25-Jul-16,Surface Area (ha),Epilimnion,522.47
2487,Freeman,2016,25-Jul-16,Surface Area (ha),Epilimnion,626.07
2373,Ridinger,2015,21-Jul-15,Surface Area (ha),Epilimnion,55.04
2387,St. Joseph Reservoir,2015,27-Jul-15,Surface Area (ha),Epilimnion,12.14
2418,Mansfield Reservoir (Hardin),2015,11-Aug-15,Surface Area (ha),Epilimnion,833.68
2457,Wolf,2016,11-Jul-16,Surface Area (ha),Epilimnion,155.81
2519,Crane,2016,16-Aug-16,Surface Area (ha),Epilimnion,11.33
2546,Fish,2017,26-Jun-17,Surface Area (ha),Epilimnion,40.47
2591,Waldron,2017,24-Jul-17,Surface Area (ha),Epilimnion,87.42
2594,Loon,2017,25-Jul-17,Surface Area (ha),Epilimnion,6.07
2650,Baugher,2018,26-Jun-18,Surface Area (ha),Epilimnion,12.95
2703,Big Fry,2018,26-Jul-18,Surface Area (ha),Epilimnion,1.82
2713,Cagles Mill (Cataract),2018,31-Jul-18,Surface Area (ha),Epilimnion,566.58
2584,Manlove,2017,17-Jul-17,Surface Area (ha),Epilimnion,6.07
2569,Riddles,2017,17-Jul-17,Surface Area (ha),Epilimnion,31.16
2697,Little Pike,2018,24-Jul-18,Surface Area (ha),Epilimnion,10.12
2510,Lemon,2016,10-Aug-16,Surface Area (ha),Epilimnion,667.76
2633,Fish,2018,25-Jun-18,Surface Area (ha),Epilimnion,23.88
2696,Pike,2018,24-Jul-18,Surface Area (ha),Epilimnion,82.15
2330,Port Mitchell,2015,30-Jun-15,Surface Area (ha),Epilimnion,6.07
2381,Carr,2015,28-Jul-15,Surface Area (ha),Epilimnion,25.9
2447,McClures,2016,28-Jun-16,Surface Area (ha),Epilimnion,12.95
2503,Palestine,2016,1-Aug-16,Surface Area (ha),Epilimnion,93.89
2556,Dale Reservoir,2017,10-Jul-17,Surface Area (ha),Epilimnion,13.36
2668,Riddles,2018,9-Jul-18,Surface Area (ha),Epilimnion,31.16
2702,Impoundment No. 26,2018,26-Jul-18,Surface Area (ha),Epilimnion,19.02
2342,Shipshewana,2015,6-Jul-15,Surface Area (ha),Epilimnion,81.75
2371,Mud (Chain of Lakes),2015,21-Jul-15,Surface Area (ha),Epilimnion,3.24
2415,King,2015,10-Aug-15,Surface Area (ha),Epilimnion,7.69
2445,Muncie,2016,28-Jun-16,Surface Area (ha),Epilimnion,19.02
2459,George (Hobart),2016,11-Jul-16,Surface Area (ha),Epilimnion,109.27
2481,Green Valley,2016,27-Jul-16,Surface Area (ha),Epilimnion,20.24
2497,Sellers,2016,1-Aug-16,Surface Area (ha),Epilimnion,12.95
2675,J.C. Murphy,2018,10-Jul-18,Surface Area (ha),Epilimnion,485.64
2460,Cedar,2016,11-Jul-16,Surface Area (ha),Epilimnion,316.07
2484,Bass,2016,25-Jul-16,Surface Area (ha),Epilimnion,544.32
2493,Cagles Mill (Cataract),2016,3-Aug-16,Surface Area (ha),Epilimnion,566.58
